no;nofish;livebait;camper;persons;child;xb;zg;count
224;0;1;1;1;0;-0.49698019;0.957906127;0
225;0;1;0;2;1;1.218269944;-0.664241612;0
226;0;1;1;2;0;0.037536614;2.861773014;1
227;1;1;1;3;1;1.523244143;3.039572716;4
228;1;1;0;1;0;-0.907698154;0.611488819;0
229;0;1;1;3;2;2.331376553;-2.355525732;0
230;0;1;1;2;1;1.068086028;1.375056386;2
231;0;1;1;1;0;1.40126574;2.141049623;3
232;1;1;0;4;2;3.930421829;-2.74390316;0
233;0;1;0;3;1;0.196246982;-1.781073928;0
234;0;1;0;2;0;0.029527381;1.002204299;0
235;1;0;0;2;0;-0.766901433;-0.44208771;0
236;0;1;1;1;0;0.661188662;3.241333485;1
237;0;1;1;2;0;1.015074015;0.948959351;2
238;0;1;1;1;0;-1.046668053;0.760976613;0
239;0;1;1;3;0;1.9380548;2.159034252;6
240;0;1;1;2;0;1.724750519;0.927846849;4
241;0;1;1;2;0;0.602655232;3.57160902;1
242;0;1;1;4;2;2.413781643;-1.316399097;1
243;1;0;0;2;0;-1.20076859;1.057799816;0
244;0;1;1;3;1;1.963849306;-0.733001232;1
245;0;1;0;3;0;-0.291065693;1.315508246;0
246;1;1;1;2;0;-0.755235732;2.324208736;0
247;0;1;1;4;3;1.794859171;-5.625943661;0
248;0;1;1;2;1;-0.392648846;0.677275419;0
249;1;1;1;3;2;1.374640584;-2.595630169;0
250;1;1;1;2;1;0.828834116;-1.457115412;0
